image_id,filename,case_tag,uploaded_by,upload_date,tech_label,tech_id,tech_date,tech_status,image_quality,tech_confidence,path_label,path_id,path_date,path_status,path_confidence,path_commentary,tech_note,tags,version,last_modified_by,last_modified_date,audit_trail_json,discussion_flag,discussion_comment,discussion_flagged_by,discussion_date,correction_label,correction_reason,correction_note,correction_by,correction_date,path_review_method,m_cell_area,m_cell_major,m_cell_minor,m_cell_eccentricity,m_cell_circularity,m_cell_solidity,m_cell_equiv_diameter,m_cell_aspect_ratio,m_cell_extent,m_nuc_area,m_nuc_major,m_nuc_minor,m_nuc_eccentricity,m_nuc_circularity,m_nuc_solidity,m_nuc_lobes,m_nuc_irregularity,m_nuc_convex_deficiency,m_nc_ratio,m_nuc_mean_l,m_nuc_mean_a,m_nuc_mean_b,m_nuc_intensity_std,m_cyto_mean_l,m_cyto_mean_a,m_cyto_mean_b,m_cyto_mean_hue,m_nuc_glcm_contrast,m_nuc_glcm_homogeneity,m_nuc_glcm_energy,m_nuc_glcm_correlation,m_seg_quality
CW_00002,CW_00002.jpg,cellwiki,,,,,,,,,BASOPHIL,,,finalized,,,,,0.0,,,[],False,,,,,,,,,,52237.0,375.8092831882622,217.2690520605496,0.8159400854386036,0.3803380200766639,0.7933087308457485,257.8957426913649,1.729695415081619,0.4890738521459066,32694.0,267.32889493117517,213.99688358502937,0.5993322384052693,0.0215504441797693,0.6789044168033723,2.0,0.3210955831966277,15463.0,0.6258782089323659,50.39172606336406,31.067814576090495,-23.370956590563296,16.47204623764396,75.66216949514052,9.454491653424302,4.7405268124696125,0.4459846214529992,1617.07642105909,0.5706672820201171,0.4971161042233996,0.8133389492215132,good
CW_00003,CW_00003.jpg,cellwiki,,,,,,,,,BASOPHIL,,,finalized,,,,,0.0,,,[],False,,,,,,,,,,23818.0,234.03991474778712,146.8248188302191,0.7787378441227447,0.4838494941929724,0.8518293337148171,174.14367481049118,1.5940078565219904,0.5432442295411003,12609.0,138.66183426609058,130.12242057083873,0.3455087084946098,0.0594196244123673,0.8299216744553413,1.0,0.1700783255446587,2584.0,0.5293895373247124,35.20086737959984,46.59049882491264,-43.77649922375993,10.346114391210651,67.27742360567701,14.017455526852656,-0.8720650820606807,0.6887653675997565,1028.59391827944,0.469706559948886,0.377847604279689,0.7081909055970242,good
CW_00004,CW_00004.jpg,cellwiki,,,,,,,,,BASOPHIL,,,finalized,,,,,0.0,,,[],False,,,,,,,,,,71491.0,363.1479243292332,314.1682845463108,0.5015566138273284,0.2816815953378313,0.7106390592538842,301.7037757348448,1.1559025598451278,0.6186483212184147,18650.0,204.3498676154136,149.31325761397594,0.6827258821091537,0.0445592847586104,0.6550064973834862,1.0,0.3449935026165139,9823.0,0.2608719978738582,45.277932384232265,38.38231169235628,-32.179418359205336,12.891508463797251,71.71911945002878,10.27699094445971,3.323773272610724,0.562568147090797,1227.382329736102,0.5892164543812736,0.5462586900749833,0.7970306818674509,good
CW_00005,CW_00005.jpg,cellwiki,,,,,,,,,BASOPHIL,,,finalized,,,,,0.0,,,[],False,,,,,,,,,,12431.0,126.87273917643276,125.41423871053146,0.1511932445552699,0.7968567379564148,0.9701108162946775,125.80795197682382,1.011629464731414,0.7244172494172494,9962.0,121.70532703961464,112.2770433935928,0.3859209012226535,0.076182015430569,0.8344082418963062,1.0,0.1655917581036937,1977.0,0.8013836376799935,29.214771897218338,46.78178213819959,-52.057788574811035,6.872132093198305,53.66682582183466,29.398541541375685,-26.694153166331827,0.7945262075706536,674.0940989290488,0.4398636026930744,0.3399235074011633,0.6670344646421159,good
CW_00006,CW_00006.jpg,cellwiki,,,,,,,,,BASOPHIL,,,finalized,,,,,0.0,,,[],False,,,,,,,,,,28750.0,256.65774423014835,152.5944397224788,0.8040627376820496,0.5440942630368472,0.8710273578331869,191.32599643314532,1.6819600025854673,0.6568575932737782,13691.0,143.69609643239104,122.61876433859476,0.5213874212386143,0.4122345586363283,0.9474740484429066,1.0,0.0525259515570934,759.0,0.4762086956521739,37.99978495365435,41.14256484983419,-42.53959499746178,11.361032518251887,67.69637974708156,10.909664049772804,1.958656970072576,0.6009243902806272,1041.8036418417923,0.3468107920368681,0.2924700271015494,0.7515030548154092,good
CW_00007,CW_00007.jpg,cellwiki,,,,,,,,,BASOPHIL,,,finalized,,,,,0.0,,,[],False,,,,,,,,,,19240.0,230.7920831736207,121.52755929958556,0.8501334603854868,0.5475806184399571,0.8729186516038292,156.51558657432344,1.8990925556620455,0.5628693464396466,13698.0,140.49927401491286,125.60070043496192,0.4481471938257086,0.2691043032065334,0.9541655057118976,1.0,0.0458344942881025,658.0,0.7119542619542619,39.84289842219892,40.331970616296786,-39.557006905335115,12.3755658288918,72.13091515243083,10.051352944276722,3.1062271870424403,0.5392484612192663,1322.6228150651853,0.2845475278603992,0.2224071092297217,0.7065610147866328,good
CW_00008,CW_00008.jpg,cellwiki,,,,,,,,,BASOPHIL,,,finalized,,,,,0.0,,,[],False,,,,,,,,,,41545.0,308.76242423799084,221.66799322141188,0.6961213621878324,0.3314021654023826,0.7588820896885561,229.99290616456489,1.3929048562711766,0.53136111324278,16119.0,187.72589238676952,123.79149319267836,0.751768737264412,0.1124171521122643,0.7984841729826125,1.0,0.2015158270173874,4068.0,0.3879889276687929,41.06765316442897,39.5836855389844,-37.190774400569616,14.352825622159788,75.07845305427146,9.888112552377322,4.204456358381659,0.5320754555322903,1279.6417990419063,0.5296209659043398,0.4617020874763595,0.7732786426998339,good
CW_00009,CW_00009.jpg,cellwiki,,,,,,,,,BASOPHIL,,,finalized,,,,,0.0,,,[],False,,,,,,,,,,20591.0,186.82092623407303,143.26825490373724,0.6417967642401089,0.7391397026140828,0.9613876178914932,161.9174958602119,1.3039938705165293,0.7047850492880613,15822.0,147.4580378928993,139.32886319516737,0.3274420368416788,0.1475638157617896,0.9325160605882006,1.0,0.0674839394117993,1145.0,0.7683939585255695,40.83894765545499,38.72834267869684,-39.07446559834151,14.013933376171916,74.68592600836173,9.743504325932111,2.539593306456991,0.5827228733083558,1508.865887767393,0.2988693425059375,0.2343806366109055,0.7149290854191376,good
CW_00010,CW_00010.jpg,cellwiki,,,,,,,,,BLAST,,,finalized,,Monocytic,,,0.0,,,[],False,,,,,,,,,,16697.0,155.48862607647365,138.06692506904758,0.4599300659288488,0.8325039922595501,0.9809646906762236,145.80562636072386,1.1261830159447197,0.7997413545358751,13549.0,147.34842903102088,129.95325538342777,0.4713517546265996,0.0249982125971852,0.830768287448648,1.0,0.169231712551352,2760.0,0.8114631370904953,35.948288983451704,41.91429776394662,-44.92517289956581,3.7039166116507767,48.189682893569966,33.762126089862406,-32.21658718611286,0.7774355874553681,932.300841648288,0.3486531692006352,0.2664601241749664,0.6555904148864371,good
CW_00011,CW_00011.jpg,cellwiki,,,,,,,,,BLAST,,,finalized,,Monocytic,,,0.0,,,[],False,,,,,,,,,,26623.0,191.81236033611552,176.87424052103745,0.3869011823231367,0.8573280213990132,0.9850884333604676,184.1126187948133,1.0844561637187713,0.7615274599542334,23808.0,186.56032334423628,170.88589918371875,0.4012193477509206,0.0456266086866613,0.920364929642802,1.0,0.079635070357198,2060.0,0.8942643578860384,44.7692690485773,33.41874315410461,-37.97134484515136,11.832358646193317,75.01023828470517,7.2515070776633666,-5.297091761891882,0.6286477896415007,1743.2086336954142,0.3158003509438353,0.2473801888099591,0.6915575891726804,good
